Koreansk,Dansk,Kategori,Pensum,Kilde,Rettet,Eksporter
Momtong,Midtersektion,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Momtong anmakki,"Midter sektion blokering, modsat arm/ben",Håndteknikker,10. kup,http://www.tangun.dk/images/stories/docs/10kup.pdf,FALSE,TRUE
Momtong bakatmakki,Udadgående blokering i midter sektion,Håndteknikker,9. kup,http://www.tangun.dk/images/stories/docs/9kup.pdf,FALSE,TRUE
Momtong hechyomakki,Udadgående adskille blokering,Håndteknikker,4. kup,http://www.tangun.dk/images/stories/docs/4kup.pdf,FALSE,TRUE
Momtong jireugi,Slag midter sektion,Håndteknikker,10. kup,http://www.tangun.dk/images/stories/docs/10kup.pdf,FALSE,TRUE
Momtongmakki,Midter sektion blokering,Håndteknikker,10. kup,http://www.tangun.dk/images/stories/docs/10kup.pdf,FALSE,TRUE
Moo Do,Kampkunst,Kamp,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Mook nyeom,Koncentration,Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Mooreup,Knæ,Anatomi,6. kup,http://www.tangun.dk/images/stories/docs/6kup.pdf,FALSE,TRUE
Mooreup,Knæ,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Mooreup keokki,“Knække knæ”,Håndteknikker,1. kup,http://www.tangun.dk/images/stories/docs/1kup.pdf,FALSE,TRUE
Mooreup-chigi,Knæspark/slag,Benteknikker,4. kup,http://www.tangun.dk/images/stories/docs/4kup.pdf,FALSE,TRUE
Mu meong ji sonkarak,Ringfinger,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Myongchi,Solar plexus,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Na-chooeo-seogi,Dyb stand,Stande,7. kup,http://www.tangun.dk/images/stories/docs/7kup.pdf,FALSE,TRUE
Naeryo-chagi,Nedadgående spark,Benteknikker,10. kup,http://www.tangun.dk/images/stories/docs/10kup.pdf,FALSE,TRUE
Nag teok,Agwison angreb mod kæbe,Håndteknikker,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Nakeo chagi,Krog spark,Benteknikker,4. kup,http://www.tangun.dk/images/stories/docs/4kup.pdf,FALSE,TRUE
Nakeo chagi,Krog spark,Benteknikker,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Nalgae pyogi,Spredte vinger,Bevægelse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Nangsim,Skridtet,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Naranhi seogi,Parallel stand,Stande,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Naranhi-seogi,Parallel stand,Stande,10. kup,http://www.tangun.dk/images/stories/docs/10kup.pdf,FALSE,TRUE
Nareyo,Nedadgående,Bevægelse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Net,Fire ( 4 ),Tal,9. kup,http://www.tangun.dk/images/stories/docs/9kup.pdf,FALSE,TRUE
Noon,Øjne,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Nopi,Højt,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
O-ja seogi,T-stand,Stande,1. kup,http://www.tangun.dk/images/stories/docs/1kup.pdf,FALSE,TRUE
Oen,Venstre,Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Oen-seogi,Venstre stand,Stande,6. kup,http://www.tangun.dk/images/stories/docs/6kup.pdf,FALSE,TRUE
Oesanteul,Halvt bjerg,Diverse,3. kup,null,FALSE,TRUE
Oesanteul makki,Halv bjerg blokering,Benteknikker,3. kup,null,FALSE,TRUE
Ogeum,Knæhasen,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Ogeum seogi,Knæhase stand,Stande,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Oh,Femte ( 5. ),Tal,6. kup,http://www.tangun.dk/images/stories/docs/6kup.pdf,FALSE,TRUE
Oja seogi,T-stand,Stande,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Okae,Skulder,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Ollyo,Opadgående,Bevægelse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Olryeo,Opadgående,Bevægelse,2. kup,http://www.tangun.dk/images/stories/docs/2kup.pdf,FALSE,TRUE
Opon,Drejet nedad,Bevægelse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Oreun,Højre,Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Oreun-seog,Højre stand,Stande,6. kup,http://www.tangun.dk/images/stories/docs/6kup.pdf,FALSE,TRUE
Pae,Tabe,Kamp,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Pal,Ottende ( 8. ),Tal,3. kup,null,FALSE,TRUE
Pal,Arm,Anatomi,8. kup,http://www.tangun.dk/images/stories/docs/8kup.pdf,FALSE,TRUE
Pal,Arm,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Palkoop,Albue,Anatomi,6. kup,http://www.tangun.dk/images/stories/docs/6kup.pdf,FALSE,TRUE
Palkoop,Albue,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Palkoop dollyo-chigi,Cirkel albueslag,Håndteknikker,6. kup,http://www.tangun.dk/images/stories/docs/6kup.pdf,FALSE,TRUE
Palkoop naeryochigi,Nedadgående albuestød,Håndteknikker,2. kup,http://www.tangun.dk/images/stories/docs/2kup.pdf,FALSE,TRUE
Palkoop olyeochigi,Opadgående albuestød,Håndteknikker,2. kup,http://www.tangun.dk/images/stories/docs/2kup.pdf,FALSE,TRUE
Palkoop pyojeok-chigi,Albue pletslag,Håndteknikker,6. kup,http://www.tangun.dk/images/stories/docs/6kup.pdf,FALSE,TRUE
Palkoop yeop chigi,Albuestød til siden,Håndteknikker,1. kup,http://www.tangun.dk/images/stories/docs/1kup.pdf,FALSE,TRUE
Palmok,Underarm,Anatomi,8. kup,http://www.tangun.dk/images/stories/docs/8kup.pdf,TRUE,TRUE
Palmok,Underarm,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Poom,Grundteknik,Bevægelse,9. kup,http://www.tangun.dk/images/stories/docs/9kup.pdf,FALSE,TRUE
Poom,Handling,Bevægelse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Poom,Mestergrad for børn,Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Poom seogi,"Stande hvor arme, ben og kroppens bevægelser harmonerer",Stande,1. kup,http://www.tangun.dk/images/stories/docs/1kup.pdf,FALSE,TRUE
Poom seogi: Bojumeok joonbi-seogi,Dækket næve retstand,Stande,4. kup,http://www.tangun.dk/images/stories/docs/4kup.pdf,FALSE,TRUE
Poomse,Sammensatte grundteknikker,Bevægelse,9. kup,http://www.tangun.dk/images/stories/docs/9kup.pdf,FALSE,TRUE
Poomse Keumgang,Poomse 2,Diverse,2. dan,http://www.tangun.dk/images/stories/docs/2dan.pdf,FALSE,TRUE
Poomse Koryo,Poomse 1,Diverse,1. dan,http://www.tangun.dk/images/stories/docs/1dan.pdf,FALSE,TRUE
Poomse Pal jang,8. taegeuk,Diverse,2. kup,http://www.tangun.dk/images/stories/docs/2kup.pdf,FALSE,TRUE
Poomse Taebaek,Poomse 3,Diverse,3. dan,http://www.tangun.dk/images/stories/docs/3dan.pdf,FALSE,TRUE
Poomse Taegeuk il jang,1. Taegeuk,Diverse,9. kup,http://www.tangun.dk/images/stories/docs/9kup.pdf,FALSE,TRUE
Poomse Taegeuk Oh jang,5. taegeuk,Diverse,5. kup,http://www.tangun.dk/images/stories/docs/5kup.pdf,FALSE,TRUE
Poomse Taegeuk Sah jang,4. taegeuk,Diverse,6. kup,http://www.tangun.dk/images/stories/docs/6kup.pdf,FALSE,TRUE
Poomse Taegeuk Sam jang,3. taegeuk,Diverse,7. kup,http://www.tangun.dk/images/stories/docs/7kup.pdf,FALSE,TRUE
Poomse Taegeuk yi jang,2. Taegeuk,Diverse,8. kup,http://www.tangun.dk/images/stories/docs/8kup.pdf,FALSE,TRUE
Poomse Taegeuk Yook jang,6. Taegeuk,Diverse,4. kup,http://www.tangun.dk/images/stories/docs/4kup.pdf,FALSE,TRUE
Poomsee,Sammensatte handlinger,Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Pyeon jumeok,Kattenæve,Håndteknikker,4. kup,http://www.tangun.dk/images/stories/docs/4kup.pdf,FALSE,TRUE
Pyeon sonkeut,Fingerstik,Håndteknikker,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Pyeonhi seogi,Hvile stand,Stande,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Pyeonhi-seogi,Hvilestand,Stande,9. kup,http://www.tangun.dk/images/stories/docs/9kup.pdf,FALSE,TRUE
Pyeonson-keut seweo chireugi,Fingerstik m. lodret håndstilling,Håndteknikker,7. kup,http://www.tangun.dk/images/stories/docs/7kup.pdf,FALSE,TRUE
Pyeunson-keut,Fingerstik,Håndteknikker,7. kup,http://www.tangun.dk/images/stories/docs/7kup.pdf,FALSE,TRUE
Pyojeok,Plet/punkt,Anatomi,6. kup,http://www.tangun.dk/images/stories/docs/6kup.pdf,FALSE,TRUE
Pyojeok,Plet,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Pyojeok-chagi,Pletspark,Benteknikker,4. kup,http://www.tangun.dk/images/stories/docs/4kup.pdf,FALSE,TRUE
Pyojeok-jireugi,Plet slag,Håndteknikker,1. kup,http://www.tangun.dk/images/stories/docs/1kup.pdf,FALSE,TRUE
Pyon,jomeok Kattenæve,Håndteknikker,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Pyonson-keut jecheo-chireugi,Fingerstik m. håndfl aden opad,Håndteknikker,1. kup,http://www.tangun.dk/images/stories/docs/1kup.pdf,FALSE,TRUE
Sabeum Nim,International instruktør,Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Sabeum Nim Kke Khungne,Hils på instruktøren,Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Sabum-nim,Træner 4. dan og mere,Diverse,10. kup,http://www.tangun.dk/images/stories/docs/10kup.pdf,FALSE,TRUE
Sah,Fjerde ( 4.),Tal,7. kup,http://www.tangun.dk/images/stories/docs/7kup.pdf,FALSE,TRUE
Sam,Tredje ( 3. ),Tal,8. kup,http://www.tangun.dk/images/stories/docs/8kup.pdf,FALSE,TRUE
Sam hoe jeon,Tredje runde,Kamp,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Sambon Kireugi,Tre skridts kamp,Kamp,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Sang-i,Overdel til dobog,Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Santeul,Bjerg,Diverse,3. kup,null,FALSE,TRUE
Santeul,Bjerg,Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Santul-makki,Bjerg blokering,Håndteknikker,1. dan,http://www.tangun.dk/images/stories/docs/1dan.pdf,FALSE,TRUE
Sapo dae,Skridtbeskytter,Kamp,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Set,Tre ( 3 ),Tal,9. kup,http://www.tangun.dk/images/stories/docs/9kup.pdf,FALSE,TRUE
Set gi sonkarak,Lillefinger,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Set tchae madi,Inderste fingerled,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Sewo,Håndryggen lodret,Håndteknikker,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Sewoon-jumeok,Lodret håndstilling m. knyttet hånd,Håndteknikker,7. kup,http://www.tangun.dk/images/stories/docs/7kup.pdf,FALSE,TRUE
Shijak,Begynd/start,Diverse,7. kup,http://www.tangun.dk/images/stories/docs/7kup.pdf,FALSE,TRUE
Shijak,Start,Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Ship,Tiende ( 10. ),Tal,2. kup,http://www.tangun.dk/images/stories/docs/2kup.pdf,FALSE,TRUE
Sim pan won,Alle dommere,Kamp,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Sim sae,Prøve,Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Sin,Person/sig selv,Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Sin jang,Nyre,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Sison,Orientering/se efter,Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Sokeo chagi,To spark med samme ben (2 forskellige sparketeknikker),Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Sokeo-chagi,Blandet spark m. samme ben,Benteknikker,1. kup,http://www.tangun.dk/images/stories/docs/1kup.pdf,FALSE,TRUE
Son,Hånd,Anatomi,9. kup,http://www.tangun.dk/images/stories/docs/9kup.pdf,FALSE,TRUE
Son,Hånd,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Son-deung,Håndryggen,Anatomi,7. kup,http://www.tangun.dk/images/stories/docs/7kup.pdf,FALSE,TRUE
Sondeung,Håndryggen,Håndteknikker,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Song,Vinde,Kamp,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Sonkeut,Fingerspidserne,Anatomi,7. kup,http://www.tangun.dk/images/stories/docs/7kup.pdf,FALSE,TRUE
Sonkeut,Fingerspidserne,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Sonmok,Håndled,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Sonnal,Knivhånd,Håndteknikker,9. kup,http://www.tangun.dk/images/stories/docs/9kup.pdf,FALSE,TRUE
Sonnal,Knivhånd,Håndteknikker,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Sonnal arae hechyomakki,Lav sektion adskille blokering m. knivhånd,Håndteknikker,2. dan,http://www.tangun.dk/images/stories/docs/2dan.pdf,FALSE,TRUE
Sonnal araemakki,Knivhåndsblokering i lav sektion (dobbelt),Håndteknikker,2. kup,http://www.tangun.dk/images/stories/docs/2kup.pdf,FALSE,TRUE
Sonnal deung,Modsat knivhånd,Håndteknikker,2. kup,http://www.tangun.dk/images/stories/docs/2kup.pdf,FALSE,TRUE
Sonnal eolgul bakat-chigi,"Udadgående slag m. knivhånd, håndryg opad",Håndteknikker,9. kup,http://www.tangun.dk/images/stories/docs/9kup.pdf,FALSE,TRUE
Sonnal montomgmakki,Knivhåndsblokering,Håndteknikker,8. kup,http://www.tangun.dk/images/stories/docs/8kup.pdf,FALSE,TRUE
Sonnaldeung,Modsat knivhånd,Håndteknikker,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Soseum jireugi,Bam jomeok med begge hænder mod hals,Håndteknikker,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Sosun jumeok / Bam joomoek,Kastanjenæve,Håndteknikker,3. kup,null,FALSE,TRUE
Su Seok Sabeum Nim,Klubbens højest graduerede Sabeum Nim,Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Suh Rjon seng,Elev,Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Sul,Teknik,Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Swaegol,Kraveben,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Tae,Fod/spark,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Taegeuk,Den store evighed,Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Taegeuk ki,Koreanske flag,Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Taekwondo,Fod/spark næve system,Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Taesan milgi,Skubber et stort bjerg,Håndteknikker,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Tasut,Fem ( 5 ),Tal,8. kup,http://www.tangun.dk/images/stories/docs/8kup.pdf,FALSE,TRUE
Teok,Hage,Anatomi,3. kup,null,FALSE,TRUE
Teok,Kæbe/hage,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Tii,Bælte,Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Tii maeneun beob,Måden man binder bælte på,Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Tjong,Blå,Kamp,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Tokjo-nim,Træner under 1. dan,Diverse,10. kup,http://www.tangun.dk/images/stories/docs/10kup.pdf,FALSE,TRUE
Tong milgi joonbi seogi,Skubbe klar stand,Stande,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Tong-milgi joonbi-seogi,Skubbe klar stand,Stande,1. kup,http://www.tangun.dk/images/stories/docs/1kup.pdf,FALSE,TRUE
Twieo,Flyvende,Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Twieo baggueo chagi,Flyvende spark m. bagerste ben,Benteknikker,1. kup,http://www.tangun.dk/images/stories/docs/1kup.pdf,FALSE,TRUE
Twieo ieo-chagi,Samme spark 2 gange - fl yvende,Benteknikker,2. kup,http://www.tangun.dk/images/stories/docs/2kup.pdf,FALSE,TRUE
Twieo neomeo chagi,Spark over forhindring,Benteknikker,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Twieo-chagi,Flyvende spark m. bagerste ben,Benteknikker,5. kup,http://www.tangun.dk/images/stories/docs/5kup.pdf,FALSE,TRUE
Um ji sonkarak,Tommelfinger,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Upon,Håndryggen opad,Håndteknikker,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Wi,Over,Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Wiro paegi,Trækker opad i frigørelse,Håndteknikker,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
WTF,World Taekwondo Federation,Diverse,8. kup,http://www.tangun.dk/images/stories/docs/8kup.pdf,FALSE,TRUE
WTF,World Taekwondo Federation,Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Wu Yang Wu,Højre om,Bevægelse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,TRUE
Yeop,Side,Diverse,8. kup,http://www.tangun.dk/images/stories/docs/8kup.pdf,FALSE,TRUE
Yeop goori,Siderne på kroppen,Anatomi,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Yeop Side,Side,Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE
Yeop-chagi,Sidespark,Benteknikker,8. kup,http://www.tangun.dk/images/stories/docs/8kup.pdf,FALSE,TRUE
Yeop-jireugi,Sideslag,Håndteknikker,6. kup,http://www.tangun.dk/images/stories/docs/6kup.pdf,FALSE,TRUE
Yi,Anden ( 2. ),Tal,9. kup,http://www.tangun.dk/images/stories/docs/9kup.pdf,FALSE,TRUE
Yook,Sjette ( 6. ),Tal,5. kup,http://www.tangun.dk/images/stories/docs/5kup.pdf,FALSE,TRUE
Yusot,Seks ( 6 ),Tal,7. kup,http://www.tangun.dk/images/stories/docs/7kup.pdf,FALSE,TRUE
Zuu,Hvil/slap af,Diverse,10. kup,http://www.tangun.dk/images/stories/docs/10kup.pdf,FALSE,TRUE
Zuu,Slap af,Diverse,Teori,https://www.taekwondo.dk/files/Forbund/Pensum/oversaettelser3.pdf,FALSE,FALSE